,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group
1274,85,17.28205128,152.6266128,1709.343333,88.89398718,0.990943538,11.12820513,197.4135974,1557.988974,88.39815641,11.60184179,1.001060026,0.61538631,320.6254319,350.5494444,6.549201309,41.75867151,254.2558859,3.845142616,0.091342227,5.027186548,51.62491886,305.9003831,3.112894035,3.112896156,0.125913424,0.107361878,76.61505213,80.02336152,39,cell,NADH,FAD,CD4 Spleen FOV3
1275,87,13.48387097,248.3905806,1769.719677,84.17998387,1.104119355,7.483870968,225.3003871,1446.120581,85.69308387,14.30691903,1.067577548,0.648199598,490.1040381,391.1208944,3.914681492,159.7891869,438.6768847,3.543695523,0.127472283,3.424139481,40.28202656,234.5300006,4.544582837,4.54457881,0.08382492,0.091501327,208.2893925,47.05219589,31,cell,NADH,FAD,CD4 Spleen FOV3
1276,88,17.62666667,222.910276,1673.32024,86.17304933,1.016839547,12.74666667,223.7402,2096.1016,93.125572,6.8744288,1.000883347,0.582150467,425.8630867,349.0579919,5.634769794,102.252996,442.6927393,3.770801039,0.091340561,4.854903716,34.73791449,443.9972581,1.233372221,1.233377491,0.086982,0.099876903,165.7680608,53.63844483,75,cell,NADH,FAD,CD4 Spleen FOV3
1277,90,21.78947368,283.1093421,2046.003684,83.76627632,1.130329947,15.23684211,278.9938421,1869.860263,90.60679474,9.393212368,1.057474447,0.591878357,566.7002599,426.7078975,10.67241429,75.01054266,369.8486383,3.496711874,0.112500333,9.889755034,63.35541968,333.107479,2.525379777,2.525376002,0.067913096,0.088785873,134.7179188,97.48520316,38,cell,NADH,FAD,CD4 Spleen FOV3
1278,91,15.61702128,234.4901064,1713.564894,86.03475532,1.012389532,11.31914894,165.1510213,1182.99717,89.40989574,10.59010723,1.11786934,0.602094977,441.2914007,274.3455348,7.072768327,79.60685646,436.7466474,4.548989291,0.110715063,8.126998438,32.77196027,164.4573798,5.672476319,5.672474332,0.118840969,0.119689287,151.3040384,87.74597269,47,cell,NADH,FAD,CD4 Spleen FOV3
1279,93,13.675,136.9094475,1394.924,87.93565,1.011269825,8.025,138.3244125,1287.5892,87.3473175,12.652681,1.10701975,0.631795199,285.6086845,280.4837841,5.663139928,35.01010086,198.7299051,3.882507936,0.135462141,3.696758802,30.45507359,184.6697783,3.503895336,3.503897163,0.087135267,0.117599941,68.74323659,58.48759249,40,cell,NADH,FAD,CD4 Spleen FOV3
1280,94,19.5,532.7501176,2520.57,78.16660294,1.073846647,10.38235294,278.6652353,1884.067647,79.30020882,20.69979206,0.947215,0.652215376,952.8360379,599.7029385,8.30206254,181.5243204,551.4609368,4.690056772,0.122748171,5.015217485,141.9347524,327.6870362,5.59285667,5.59285457,0.086025499,0.096803397,207.3652091,146.1092115,34,cell,NADH,FAD,CD4 Spleen FOV3
1281,96,19.05555556,263.0398796,1988.19213,85.68703796,0.962966509,10.99074074,220.8556639,1720.083574,84.84802963,15.1519712,0.949303278,0.639684378,499.7923273,440.9023292,9.840630378,102.0160107,594.8316808,4.93220508,0.10884569,6.84609906,66.83777844,348.3218614,4.562864495,4.562863509,0.118923729,0.094064004,171.7238325,116.5513556,108,cell,NADH,FAD,CD4 Spleen FOV3
1282,97,9.866666667,108.9833933,1449.011667,93.30178,1.038389933,6.133333333,166.6276,1682.228667,91.14005333,8.859948,1.158948733,0.62238067,198.3951498,299.6738598,3.113717729,25.06529799,270.9878701,1.419832212,0.100817365,2.669046557,45.39478688,207.0961822,1.374445309,1.374438449,0.067806616,0.124127796,48.2175281,54.23518136,15,cell,NADH,FAD,CD4 Spleen FOV3
1283,99,18.77227723,271.638399,1888.768248,85.01366139,0.953219168,12.51980198,230.670198,1627.2205,84.17975693,15.82024396,1.065834668,0.613638031,504.7832004,429.3736137,8.487487059,139.6292606,600.223714,4.753096548,0.128769841,8.814963757,100.7595168,420.7056278,7.897015485,7.897014726,0.149891538,0.114913785,191.5995987,139.9906712,202,cell,NADH,FAD,CD4 Spleen FOV3
